city,property_type,data_time,monthly_rent,data_id,furnished,age,area,location,platform,immediate_possession,locality,selling_price,lat,txn_type,lng,desc,google_place_id,building_name
Mumbai,Office,05/07/2016,---,12555,Unfurnished,Under 5 years,"40,540 Sq. Ft. "," Viscom IT Solutions, Amboli, Mumbai, Maharashtra, India",jagaha,Yes,Andheri,"  1,50,00,00,000 ",19.1280851,Buy,72.8468273,"This entire independent building is available for sale in Andheri West. The building has ten floors of which the ground floor and the first floor would be suitable for retail businesses, the second to fourth floor are for parking and the fifth to the ninth floor are for office space. Altogether the property has a useable area of 40,540 square feet and a built up area of 65,944 square feet. In terms of amenities, the Andheri West commercial building has full time security, two lifts, visitor's car parking, a fire system and water storage. To boot, this east facing building is within walking distance of D N Nagar Metro Station. The property is surrounded by many banks, corporate offices and restaurants.",ChIJm5fdJTzI5zsRj0eOyYUVt_I, Viscom IT Solutions
Mumbai,Office,05/07/2016,---,371,Fully,5 - 10 years,"20,500 Sq. Ft. "," Excom House, Saki Vihar Road, Asalpha, Mumbai, Maharashtra, India",jagaha,Yes,Andheri ,"  40,00,00,000 ",19.1050857,Buy,72.8880815,"This fully furnished, well maintained and newly constructed Andheri East commercial property is for sale. The property includes a ground floor, first floor and second floor (ground floor = 6500 sq. ft., first floor = 7000 sq. ft., second floor = 7000 sq. ft.) for a total useable area of 20,500 square feet and a built up area of 28,000 square feet. It is a Vaastu compliant structure with entry from all sides, two stair cases, ample space for parking, 24 hour security, water storage, power supply and fifteen car parks. This Andheri independent building is conveniently located next to Saki Naka metro station.",ChIJC_X7a3LI5zsRJ4V1KAqYpB0, Excom House
Mumbai,Office,05/07/2016,"  1,62,09,000  ",12851,Bare Shell,New,"87,799 Sq. Ft. "," Art Guild House, Lal Bahadur Shastri Marg, Nav Pada, Mumbai, Maharashtra, India",jagaha,No,"North Central Mumbai: Sion, Kurla, Mahim, Matunga & Dadar ",---,19.0859486,Lease,72.8901847,"This office space is available for lease in a Kurla West newly constructed building. The office has a carpet area of 87,799 square feet and a built up area of 1,35,075 square feet. It is a bare shell unit and come with its own private washroom and sixty-eight reserved car parks. As for the features & amenities, this Kurla commercial building has full time security, a well maintained 1.1 acre garden, two grand atriums with a vaulted sky-light, green roofing system (to enhance air-conditioning efficiency at terrace level), six lifts, visitor's car parking, a gym, a cafeteria, a lounge, a fire fighting system and water storage. The WiFi enabled building's common area has a plush interior with Italian marble flooring, a fresh air system as per ASHRAE standards, a dedicated smoking area and landscaped areas at the entrances. With that said, this elegant Kurla building is well situated within driving distance of Bandra-Kurla Complex and Kurla Station.",ChIJG7zPfofI5zsR_B63xlZr2Og, Art Guild House
Mumbai,Office,05/07/2016,"  1,61,31,120  ",12852,Bare Shell,New,"87,377 Sq. Ft. "," Art Guild House, Lal Bahadur Shastri Marg, Nav Pada, Mumbai, Maharashtra, India",jagaha,No,"North Central Mumbai: Sion, Kurla, Mahim, Matunga & Dadar ",---,19.0859486,Lease,72.8901847,"This office space is available for lease in a Kurla West newly constructed building. The office has a carpet area of 87,377 square feet and a built up area of 1,34,426 square feet. It is a bare shell unit and come with its own private washroom and sixty-eight reserved car parks. As for the features & amenities, this Kurla commercial building has full time security, a well maintained 1.1 acre garden, two grand atriums with a vaulted sky-light, green roofing system (to enhance air-conditioning efficiency at terrace level), six lifts, visitor's car parking, a gym, a cafeteria, a lounge, a fire fighting system and water storage. The WiFi enabled building's common area has a plush interior with Italian marble flooring, a fresh air system as per ASHRAE standards, a dedicated smoking area and landscaped areas at the entrances. With that said, this elegant Kurla building is well situated within driving distance of Bandra-Kurla Complex and Kurla Station.",ChIJG7zPfofI5zsR_B63xlZr2Og, Art Guild House
Mumbai,Office,05/07/2016,"  1,47,85,680  ",12853,Bare Shell,New,"80,089 Sq. Ft. "," Art Guild House, Lal Bahadur Shastri Marg, Nav Pada, Mumbai, Maharashtra, India",jagaha,No,"North Central Mumbai: Sion, Kurla, Mahim, Matunga & Dadar ",---,19.0859486,Lease,72.8901847,"This office space is available for lease in a Kurla West newly constructed building. The office has a carpet area of 80,089 square feet and a built up area of 1,23,214 square feet. It is a bare shell unit and come with its own private washroom and sixty-two reserved car parks. As for the features & amenities, this Kurla commercial building has full time security, a well maintained 1.1 acre garden, two grand atriums with a vaulted sky-light, green roofing system (to enhance air-conditioning efficiency at terrace level), six lifts, visitor's car parking, a gym, a cafeteria, a lounge, a fire fighting system and water storage. The WiFi enabled building's common area has a plush interior with Italian marble flooring, a fresh air system as per ASHRAE standards, a dedicated smoking area and landscaped areas at the entrances. With that said, this elegant Kurla building is well situated within driving distance of Bandra-Kurla Complex and Kurla Station.",ChIJG7zPfofI5zsR_B63xlZr2Og, Art Guild House
Mumbai,Office,05/07/2016,"  1,38,52,800  ",12850,Bare Shell,New,"75,036 Sq. Ft. "," Art Guild House, Lal Bahadur Shastri Marg, Nav Pada, Mumbai, Maharashtra, India",jagaha,No,"North Central Mumbai: Sion, Kurla, Mahim, Matunga & Dadar ",---,19.0859486,Lease,72.8901847,"This office space is available for lease in a Kurla West newly constructed building. The office has a carpet area of 75,036 square feet and a built up area of 1,15,440 square feet. It is a bare shell unit and come with its own private washroom and fifty-eight reserved car parks. As for the features & amenities, this Kurla commercial building has full time security, a well maintained 1.1 acre garden, two grand atriums with a vaulted sky-light, green roofing system (to enhance air-conditioning efficiency at terrace level), six lifts, visitor's car parking, a gym, a cafeteria, a lounge, a fire fighting system and water storage. The WiFi enabled building's common area has a plush interior with Italian marble flooring, a fresh air system as per ASHRAE standards, a dedicated smoking area and landscaped areas at the entrances. With that said, this elegant Kurla building is well situated within driving distance of Bandra-Kurla Complex and Kurla Station.",ChIJG7zPfofI5zsR_B63xlZr2Og, Art Guild House
Mumbai,Office,05/07/2016,"  90,51,000  ",12845,Bare Shell,New,"49,026 Sq. Ft. "," Art Guild House, Lal Bahadur Shastri Marg, Nav Pada, Mumbai, Maharashtra, India",jagaha,No,"North Central Mumbai: Sion, Kurla, Mahim, Matunga & Dadar ",---,19.0859486,Lease,72.8901847,"This office space is available for lease in a Kurla West newly constructed building. The office has a carpet area of 49,026 square feet and a built up area of 75,425 square feet. It is a bare shell unit and come with its own private washroom and thirty-eight reserved car parks. As for the features & amenities, this Kurla commercial building has full time security, a well maintained 1.1 acre garden, two grand atriums with a vaulted sky-light, green roofing system (to enhance air-conditioning efficiency at terrace level), six lifts, visitor's car parking, a gym, a cafeteria, a lounge, a fire fighting system and water storage. The WiFi enabled building's common area has a plush interior with Italian marble flooring, a fresh air system as per ASHRAE standards, a dedicated smoking area and landscaped areas at the entrances. With that said, this elegant Kurla building is well situated within driving distance of Bandra-Kurla Complex and Kurla Station.",ChIJG7zPfofI5zsR_B63xlZr2Og, Art Guild House
Mumbai,Office,05/07/2016,"  90,48,960  ",12849,Bare Shell,New,"49,015 Sq. Ft. "," Art Guild House, Lal Bahadur Shastri Marg, Nav Pada, Mumbai, Maharashtra, India",jagaha,No,"North Central Mumbai: Sion, Kurla, Mahim, Matunga & Dadar ",---,19.0859486,Lease,72.8901847,"This office space is available for lease in a Kurla West newly constructed building. The office has a carpet area of 49,015 square feet and a built up area of 75,408 square feet. It is a bare shell unit and come with its own private washroom and thirty-eight reserved car parks. As for the features & amenities, this Kurla commercial building has full time security, a well maintained 1.1 acre garden, two grand atriums with a vaulted sky-light, green roofing system (to enhance air-conditioning efficiency at terrace level), six lifts, visitor's car parking, a gym, a cafeteria, a lounge, a fire fighting system and water storage. The WiFi enabled building's common area has a plush interior with Italian marble flooring, a fresh air system as per ASHRAE standards, a dedicated smoking area and landscaped areas at the entrances. With that said, this elegant Kurla building is well situated within driving distance of Bandra-Kurla Complex and Kurla Station.",ChIJG7zPfofI5zsR_B63xlZr2Og, Art Guild House
Mumbai,Office,05/07/2016,"  90,07,800  ",12847,Bare Shell,New,"48,792 Sq. Ft. "," Art Guild House, Lal Bahadur Shastri Marg, Nav Pada, Mumbai, Maharashtra, India",jagaha,No,"North Central Mumbai: Sion, Kurla, Mahim, Matunga & Dadar ",---,19.0859486,Lease,72.8901847,"This office space is available for lease in a Kurla West newly constructed building. The office has a carpet area of 48,792 square feet and a built up area of 75,065 square feet. It is a bare shell unit and come with its own private washroom and thirty-eight reserved car parks. As for the features & amenities, this Kurla commercial building has full time security, a well maintained 1.1 acre garden, two grand atriums with a vaulted sky-light, green roofing system (to enhance air-conditioning efficiency at terrace level), six lifts, visitor's car parking, a gym, a cafeteria, a lounge, a fire fighting system and water storage. The WiFi enabled building's common area has a plush interior with Italian marble flooring, a fresh air system as per ASHRAE standards, a dedicated smoking area and landscaped areas at the entrances. With that said, this elegant Kurla building is well situated within driving distance of Bandra-Kurla Complex and Kurla Station.",ChIJG7zPfofI5zsR_B63xlZr2Og, Art Guild House
Mumbai,Office,05/07/2016,"  71,58,120  ",12844,Bare Shell,New,"38,773 Sq. Ft. "," Art Guild House, Lal Bahadur Shastri Marg, Nav Pada, Mumbai, Maharashtra, India",jagaha,No,"North Central Mumbai: Sion, Kurla, Mahim, Matunga & Dadar ",---,19.0859486,Lease,72.8901847,"This office space is available for lease in a Kurla West newly constructed building. The office has a carpet area of 38,773 square feet and a built up area of 59,651 square feet. It is a bare shell unit and come with its own private washroom and thirty reserved car parks. As for the features & amenities, this Kurla commercial building has full time security, a well maintained 1.1 acre garden, two grand atriums with a vaulted sky-light, green roofing system (to enhance air-conditioning efficiency at terrace level), six lifts, visitor's car parking, a gym, a cafeteria, a lounge, a fire fighting system and water storage. The WiFi enabled building's common area has a plush interior with Italian marble flooring, a fresh air system as per ASHRAE standards, a dedicated smoking area and landscaped areas at the entrances. With that said, this elegant Kurla building is well situated within driving distance of Bandra-Kurla Complex and Kurla Station.",ChIJG7zPfofI5zsR_B63xlZr2Og, Art Guild House
