areacode,mobile_lister,longt,config_type,immediate_possession,Details,txn_type,property_type,Status,city,lease_period,management_by_landlord,locality,platform,Selling_price,Building_name,updated_date,name_lister,Monthly_Rent,price_on_req,address,lat,google_place_id,listing_by,data_id,age,listing_date,carpet_area,sqft,sublocality
,,,None,Immediate/Ready to move,Office Space for sale in Mulund West,sale,commercial,Semi Furnished,mumbai,,, Mulund West,propertywala,"18,500,000",,,Ashok M. Gangwani,,,,,,Broker,P598214091,,2016-07-15,,1329 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Powai,sale,commercial,Unfurnished,mumbai,,, Powai,propertywala,"22,000,000",,,Pravin  Ladkat,,,,,,Broker,P66512456,,2016-07-06,,1440 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Link Road area,sale,commercial,Unfurnished,mumbai,,, Link Road area,propertywala,"85,000,000",,,Rajmohan  Agarwal,,,,,,Broker,P548410269,,2016-07-04,,5300 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Andheri East,sale,commercial,Unfurnished,mumbai,,, Andheri East,propertywala,"1,200,000",,,Kamlesh  chouhan,,,,,,Broker,P75142063,,2016-07-15,,12000 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Malad West,sale,commercial,Unfurnished,mumbai,,, Malad West,propertywala,"7,509,999",,,Rajmohan  Agarwal,,,,,,Broker,P92674049,,2016-07-05,,455 SqFeet,
,,,None,Immediate/Ready to move,Multipurpose Building for sale in Malad East,sale,commercial,Semi Furnished,mumbai,,, Malad East,propertywala,"12,500,000",,,,,,,,,Owner,P81297075,,2016-07-18,,1000 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Andheri West,sale,commercial,Unfurnished,mumbai,,, Andheri West,propertywala,"18,000,000",,,Property  Home,,,,,,Broker,P11265595,,2016-07-06,,1000 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Malad East,sale,commercial,,mumbai,,, Malad East,propertywala,"27,000,000",,,,,,,,,Owner,P81399135,,2016-07-15,,1650 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Malad West,sale,commercial,Unfurnished,mumbai,,, Malad West,propertywala,"22,500,000",,,Rajmohan  Agarwal,,,,,,Broker,P606102026,,2016-07-05,,1000 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Dahisar West,sale,commercial,,mumbai,,, Dahisar West,propertywala,"3,500,000",,,Vinay  ,,,,,,Broker,P81608565,,2016-07-11,,120 SqFeet,
,,,None,,Showroom for sale in Colaba,sale,commercial,,mumbai,,, Colaba,propertywala,"170,000,000",,,Salman Zafar khan,,,,,,Broker,P60864740,,2016-07-16,,3400 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Malad West,sale,commercial,Unfurnished,mumbai,,, Malad West,propertywala,"6,800,000",,,Rajmohan  Agarwal,,,,,,Broker,P75214432,,2016-07-03,,400 SqFeet,
,,,None,Immediate/Ready to move,Office Space for rent in Ballard Estate,rent,commercial,Furnished,mumbai,36 Months,, Ballard Estate,propertywala,,,,Rahul  Sharma,"200,000",,,,,Broker,P263645016,,2016-07-18,,1600 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Malad West,sale,commercial,Unfurnished,mumbai,,, Malad West,propertywala,"84,800,000",,,Rajmohan  Agarwal,,,,,,Broker,P761014303,,2016-07-05,,5300 SqFeet,
,,,None,Immediate/Ready to move,Office Space for rent in Kanjur Marg West,rent,commercial,Furnished,mumbai,36 Months,, Kanjur Marg West,propertywala,,,,,,,,,,Owner,P69534674,,2016-07-18,,1750 SqFeet,
,,,None,Immediate/Ready to move,Office Space for rent in Kandivali West,rent,commercial,Unfurnished,mumbai,60 Months,, Kandivali West,propertywala,,,,,,,,,,Owner,P94536653,,2016-07-18,,1950 SqFeet,
,,,None,Immediate/Ready to move,Office Space for rent in Andheri West,rent,commercial,Furnished,mumbai,10 Months,, Andheri West,propertywala,,,,Property  Home,"100,000",,,,,Broker,P92654051,,2016-07-06,,840 SqFeet,
,,,None,Immediate/Ready to move,Shop for rent in Andheri West,rent,commercial,Semi Furnished,mumbai,36 Months,, Andheri West,propertywala,,,,,"46,000",,,,,Owner,P94306253,,2016-07-16,,350 SqFeet,
,,,None,Immediate/Ready to move,Office Space for rent in Malad West,rent,commercial,Unfurnished,mumbai,,, Malad West,propertywala,,,,Rajmohan  Agarwal,"4,500,000",,,,,Broker,P437551201,,2016-07-07,,50000 SqFeet,
