status,city,property_type,management_by_landlord,data_id,areacode,sqft,listing_date,platform,locality,address,lat,txn_type,lng,building_name,desc
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,921,400013,288000,2016-02-25T10:09:57Z,purpleyo,Lower Parel,"Ganpatrao Kadam Marg, Lower Parel-West, Mumbai",18.997326,SALE,72.824524,Marathon Nextgen Icon,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2905,400058,21600,2016-06-02T06:52:59Z,purpleyo,Andheri East,"Marol Cooperative Industrial Estate Road, Sag Baug, Marol, Andheri East, Mumbai",19.110044,LEASE/SALE,72.883415,K Raheja Prime,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,NO,582,400059,192000,2016-05-19T11:27:30Z,purpleyo,Andheri East,"Andheri East, Mumbai",19.1017,LEASE,72.88192,Corporate Pride,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,513,400063,165000,2016-05-10T05:38:17Z,purpleyo,Goregaon East,"Goregaon East, Dindoshi, Mumbai",19.173054,LEASE/SALE,72.857124,Synergy Business Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3595,400013,8000,2016-07-04T10:55:38Z,purpleyo,Lower Parel,"Sakhubai Mohita Marg, Lower Parel, Mumbai",18.993086,LEASE,72.830605,,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,NO,3596,400705,211200,2016-07-04T11:32:44Z,purpleyo,Juinagar,"Dr BR Ambedkar Marg, Sector 11, Juinagar West, Navi Mumbai",19.054893,LEASE,73.0161,Ellora Fieasta,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3322,400072,126000,2016-06-02T11:57:25Z,purpleyo,Sakinaka,"Andheri-Kurla Road, Sakinaka, Mumbai",19.101254,LEASE/SALE,72.88514,Dilkap Centre,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,YES,1134,400708,490500,2016-02-02T10:37:54Z,purpleyo,Airoli,"# I.T.5, MIDC, Airoli Knowledge Park, Airoli, Navi Mumbai",19.174822,LEASE,72.99344,Gigaplex Building 3,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,514,400088,100000,2016-01-12T11:52:44Z,purpleyo,Govandi,"Sanghavi Corporate Park, Govandi (East), Deonar, Chembur, Mumbai",19.049381,LEASE,72.91671,Satyam Towers,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,3160,400705,6500,2016-05-17T11:19:52Z,purpleyo,Vashi,"# 129, Sector-19C, Vashi, Navi Mumbai",19.08112,LEASE,73.00692,Sagar Plaza,
