city,listing_id,listing_date,property_subtype,sqft,locality,configtype,platform,Selling_Price,txn_type,property_type,listing_by,Building_Name
Mumbai,4109743,05/23/2016,Commercial: Showrooms/Shops,200,Ambernath West,dec 2016,Sulekha,14.4 lakhs,Sale,Commercial,R S Enterprises,
Mumbai,4293251,05/01/2016,Apartments / Flats,585,Karjat,1 BHK,Sulekha,,Sale,Residential,Rohit,Aarambh Residency
Mumbai,3256957,06/07/2016,Apartments / Flats,1100,Santacruz West,2 BHK,Sulekha,4 crores,Sale,Residential,Mr Alnoor,
Mumbai,3995282,06/20/2016,Apartments / Flats,437,Kharbao,1 RK,Sulekha,11.8 lakhs,Sale,Residential,Ashapura Developer,
Mumbai,4543255,05/21/2016,Apartments / Flats,560,Badlapur East,1 BHK,Sulekha,18.78 lakhs,Sale,Residential,Swami Samarth JV,Elite Landmark
Mumbai,4210298,05/29/2016,Apartments / Flats,355,Atgaon,1 BHK,Sulekha,11.62 lakhs,Sale,Residential,Poddar Developers Ltd.,Poddar Navjeevan
Mumbai,4515546,05/11/2016,Apartments / Flats,495,Palghar West,1 BHK,Sulekha,17.32 lakhs,Sale,Residential,Bhagvati Constructions,
Mumbai,4447135,06/03/2016,Apartments / Flats,495,Dahisar East,1 BHK,Sulekha,34.75 lakhs,Sale,Residential,Apeksha Dave,
Mumbai,4515777,05/11/2016,Apartments / Flats,545,Neral,1 BHK,Sulekha,15.8 lakhs,Sale,Residential,Shubh Laxmi Infra,
Mumbai,4416606,06/10/2016,Apartments / Flats,570,Virar East,1 BHK,Sulekha,27.36 lakhs,Sale,Residential,Ved Construction,Ved Shree Swami Samarth
Mumbai,4567427,05/29/2016,Apartments / Flats,409,Neral,1 RK,Sulekha,10.6 lakhs,Sale,Residential,Mr Ramjiyani,
Mumbai,4585272,06/04/2016,Commercial: Restaurant/Bar/Hotel,10891,Alibag,immediate,Sulekha,3.5 crores,Sale,Commercial,Rishisnerlekkar,
Mumbai,4536570,05/19/2016,Commercial: Office Space,30000,Khopat,immediate,Sulekha,33 lakhs,Sale,Commercial,Novaspace Reality Pvt Ltd,
Mumbai,4138885,05/03/2016,Commercial: Showrooms/Shops,235,Badlapur West,Semi Furnished,Sulekha,6.58 lakhs,Sale,Commercial,Arihant Enterprises,
Mumbai,4253388,06/13/2016,Apartments / Flats,473,Chembur East,1 BHK,Sulekha,43.75 lakhs,Sale,Residential,Investors Clinic,
Mumbai,4531347,05/17/2016,Apartments / Flats,1108,Kandivali East,2 BHK,Sulekha,2.1 crores,Sale,Residential,SKY HOUSING   MR awdhesh,
Mumbai,4401978,06/04/2016,Apartments / Flats,680,Thane,1 BHK,Sulekha,63 lakhs,Sale,Residential,Neha Sharma,Kalpataru Immensa
Mumbai,4249996,05/11/2016,Apartments / Flats,636,Khopoli,1 BHK,Sulekha,19.5 lakhs,Sale,Residential,Promise land,Omkar Pride
Mumbai,4227508,06/04/2016,Apartments / Flats,342,Karjat,1 RK,Sulekha,12.31 lakhs,Sale,Residential,Dedhia Estate,Sheltrex Smart Phone City
