city,listing_id,listing_date,property_subtype,sqft,locality,configtype,platform,Selling_Price,txn_type,property_type,listing_by,Building_Name
Mumbai,4277229,06/21/2016,Apartments / Flats,685,Badlapur East,1 BHK,Sulekha,2398000.0,Sale,Residential,Usha Construction Co,Ushakiran Residency
Mumbai,4527563,07/05/2016,Apartments / Flats,650,Palghar West,1 BHK,Sulekha,1755000.0,Sale,Residential,Munna Bhai Patel,Bhavani Paradise
Mumbai,4234909,06/06/2016,Commercial: Showrooms/Shops,185,Vangani,,Sulekha,800000.0,Sale,Commercial,manik constructions,
Mumbai,4102785,05/23/2016,Commercial: Showrooms/Shops,220,Ambernath West,,Sulekha,1584000.0,Sale,Commercial,R.S Enterprises,
Mumbai,3788123,05/15/2016,Apartments / Flats,475,Khopoli,1 BHK,Sulekha,1300000.0,Sale,Residential,Arvind Nirmal,
Mumbai,4653230,06/24/2016,Apartments / Flats,505,Badlapur East,1 BHK,Sulekha,1768000.0,Sale,Residential,Jai Ambe Enterprises,
Mumbai,4567427,06/27/2016,Apartments / Flats,409,Neral,1 RK,Sulekha,1060000.0,Sale,Residential,Mr Ramjiyani,
Mumbai,4447135,06/24/2016,Apartments / Flats,495,Dahisar East,1 BHK,Sulekha,3475000.0,Sale,Residential,Apeksha Dave,
Mumbai,4416606,06/10/2016,Apartments / Flats,570,Virar East,1 BHK,Sulekha,2736000.0,Sale,Residential,Ved Construction,Ved Shree Swami Samarth
Mumbai,4648913,06/23/2016,Apartments / Flats,415,Neral,1 RK,Sulekha,1036000.0,Sale,Residential,Fine Solutions,Royal River City
Mumbai,4673619,06/30/2016,Apartments / Flats,530,Badlapur East,1 BHK,Sulekha,1589000.0,Sale,Residential,Dnyaneshwar,Satyam Prime
Mumbai,4656401,06/25/2016,Apartments / Flats,355,Neral,1 BHK,Sulekha,888000.0000000001,Sale,Residential,Shubh Laxmi Infra,
Mumbai,4471761,05/18/2016,Apartments / Flats,550,Palghar West,1 BHK,Sulekha,1800000.0,Sale,Residential,Prashant Builder & Developer,Prashant Apartment
Mumbai,4486799,07/02/2016,Apartments / Flats,375,Vangani,1 RK,Sulekha,881000.0,Sale,Residential,Shanti Nath Associates,Vardhman Residency
Mumbai,4534335,06/07/2016,Apartments / Flats,250,Borivali West,1 RK,Sulekha,6800000.0,Sale,Residential,D'Silva Properties,New Plaza
Mumbai,4593122,06/07/2016,Apartments / Flats,725,Kanjurmarg West,1 BHK,Sulekha,8700000.0,Sale,Residential,Ashish Ruke,Runwal Forest
Mumbai,4138885,06/30/2016,Commercial: Showrooms/Shops,235,Badlapur West,,Sulekha,658000.0,Sale,Commercial,Arihant Enterprises,
Mumbai,4622270,06/15/2016,Apartments / Flats,315,Palghar West,1 BHK,Sulekha,1850000.0,Sale,Residential,Mhatre Realtors,Bhakti Park
Mumbai,4515546,05/11/2016,Apartments / Flats,495,Palghar West,1 BHK,Sulekha,1732000.0,Sale,Residential,Bhagvati Constructions,
