quality1,quality2,quality3,data_id,Building_name,config_type,Selling_price,Monthly_Rent,price_per_sqft,lat,longt,platform,city,listing_date,txn_type,property_type,locality,Bua_sqft,Status,listing_by,name_lister,Details,address,price_on_req,sublocality,age,google_place_id,Possession,Launch_date,mobile_lister,areacode,management_by_landlord,carpet_area,updated_date
0,,1,6596953,Pre Launch Thane,1BHK,0,0,9443.7408,19.11169052,72.92162323,tigerprop,Mumbai,07/05/2016 05:29:50,sale,Apartment,thane,0,Not Launched,godrej properties,None,None,"Ghodbunder Road, Thane West, Mumbai",true,Thane West,None,None,None,,None,50063,None,500,07/19/2016 05:40:53
0,,1,6596954,Pre Launch Thane,2BHK,0,0,9443.7408,19.11169052,72.92162323,tigerprop,Mumbai,07/05/2016 05:29:50,sale,Apartment,thane,0,Not Launched,godrej properties,None,None,"Ghodbunder Road, Thane West, Mumbai",true,Thane West,None,None,None,,None,50063,None,650,07/19/2016 05:40:53
0,,1,6596955,Pre Launch Thane,3BHK,0,0,9443.7408,19.11169052,72.92162323,tigerprop,Mumbai,07/05/2016 05:29:50,sale,Apartment,thane,0,Not Launched,godrej properties,None,None,"Ghodbunder Road, Thane West, Mumbai",true,Thane West,None,None,None,,None,50063,None,850,07/19/2016 05:40:53
0,,1,6601538,Versova Pre Launch,2BHK,0,0,19094.3499,19.11169052,72.92162323,tigerprop,Mumbai,07/07/2016 07:10:42,sale,Apartment,andheri to dahisar,0,Not Launched,Kanakia Spaces,None,None,"Versova, Near Andheri West, Mumbai",true,Andheri West,None,None,None,,None,50023,None,700,07/07/2016 01:40:42
0,,1,6601537,Versova Pre Launch,2BHK,0,0,19094.3499,19.11169052,72.92162323,tigerprop,Mumbai,07/07/2016 07:10:42,sale,Apartment,andheri to dahisar,0,Not Launched,Kanakia Spaces,None,None,"Versova, Near Andheri West, Mumbai",true,Andheri West,None,None,None,,None,50023,None,620,07/07/2016 01:40:42
1,,1,6606076,Desire,1BHK,3578700.0,0,9443.7408,19.11169052,72.92162323,tigerprop,Mumbai,07/09/2016 05:21:07,sale,Apartment,thane,453,Pre Launch,dosti group,None,None,"Ghodbunder Road, Brahmand, Near Thane West, Mumbai",false,Thane West,None,None,12/30/2019 18:30:00,,None,50063,None,283,07/14/2016 01:00:11
1,,1,6606077,Desire,1BHK,6722900.0,0,9443.7408,19.11169052,72.92162323,tigerprop,Mumbai,07/09/2016 05:21:07,sale,Apartment,thane,851,Pre Launch,dosti group,None,None,"Ghodbunder Road, Brahmand, Near Thane West, Mumbai",false,Thane West,None,None,12/30/2019 18:30:00,,None,50063,None,532,07/14/2016 01:00:11
1,,1,6606078,Desire,2BHK,8167200.0,0,9443.7408,19.11169052,72.92162323,tigerprop,Mumbai,07/09/2016 05:21:07,sale,Apartment,thane,984,Pre Launch,dosti group,None,None,"Ghodbunder Road, Brahmand, Near Thane West, Mumbai",false,Thane West,None,None,12/30/2019 18:30:00,,None,50063,None,615,07/14/2016 01:00:11
1,,1,6606079,Desire,2BHK,10873000.0,0,9443.7408,19.11169052,72.92162323,tigerprop,Mumbai,07/09/2016 05:21:07,sale,Apartment,thane,1310,Pre Launch,dosti group,None,None,"Ghodbunder Road, Brahmand, Near Thane West, Mumbai",false,Thane West,None,None,12/30/2019 18:30:00,,None,50063,None,819,07/14/2016 00:54:39
0,,1,6616317,Desire,3BHK,0,0,9443.7408,19.11169052,72.92162323,tigerprop,Mumbai,07/14/2016 06:30:11,sale,Apartment,thane,1310,Pre Launch,dosti group,None,None,"Ghodbunder Road, Brahmand, Near Thane West, Mumbai",true,Thane West,None,None,12/30/2019 18:30:00,,None,50063,None,819,07/14/2016 01:00:11
1,,1,5317314,Project Bandra,2BHK,35321700.0,0,26965.3117,19.0533371,72.84757233,tigerprop,Mumbai,10/12/2015 06:39:29,sale,Apartment,worli to andheri,1257,Pre Launch,radius developers,None,None,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",false,Bandra East,None,None,11/30/2019 18:30:00,,None,50324,None,757,03/22/2016 09:21:27
1,,1,5317315,Project Bandra,2BHK,36530000.0,0,26965.3117,19.0533371,72.84757233,tigerprop,Mumbai,10/12/2015 06:39:29,sale,Apartment,worli to andheri,1300,Pre Launch,radius developers,None,None,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",false,Bandra East,None,None,11/30/2019 18:30:00,,None,50324,None,783,03/22/2016 09:21:27
1,,1,5317316,Project Bandra,2BHK,40351600.0,0,26965.3117,19.0533371,72.84757233,tigerprop,Mumbai,10/12/2015 06:39:29,sale,Apartment,worli to andheri,1436,Pre Launch,radius developers,None,None,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",false,Bandra East,None,None,11/30/2019 18:30:00,,None,50324,None,865,03/22/2016 09:21:27
1,,1,5317317,Project Bandra,3BHK,46561700.0,0,26965.3117,19.0533371,72.84757233,tigerprop,Mumbai,10/12/2015 06:39:29,sale,Apartment,worli to andheri,1657,Pre Launch,radius developers,None,None,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",false,Bandra East,None,None,11/30/2019 18:30:00,,None,50324,None,998,03/22/2016 09:21:27
1,,1,5317318,Project Bandra,3BHK,49680800.0,0,26965.3117,19.0533371,72.84757233,tigerprop,Mumbai,10/12/2015 06:39:29,sale,Apartment,worli to andheri,1768,Pre Launch,radius developers,None,None,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",false,Bandra East,None,None,11/30/2019 18:30:00,,None,50324,None,1065,03/22/2016 09:21:27
