data_id,Building_name,config_type,Selling_price,Monthly_Rent,lat,longt,platform,city,listing_date,txn_type,property_type,locality,sqft,Status,listing_by,name_lister,Details,address,price_on_req,sublocality,age,google_place_id,immediate_possession,mobile_lister,areacode,management_by_landlord,carpet_area,updated_date
550,Niharika Mirage,None,0,0,19.036821,73.07799,purpleyo,Navi Mumbai,06/20/2016 12:16:06,SALE,OFFICE AND RETAIL,Kharghar,140000,UNDER CONSTRUCTION,None,None,None,"# 274, Sector 10, Kharghar, Navi Mumbai",false,None,None,None,None,None,410210,NO,None,
921,Marathon Nextgen Icon,None,0,0,18.997326,72.824524,purpleyo,Mumbai,02/25/2016 10:09:57,SALE,OFFICE,Lower Parel,288000,COMPLETED AND OPERATIONAL,None,None,None,"Ganpatrao Kadam Marg, Lower Parel-West, Mumbai",false,None,None,None,None,None,400013,YES,None,
582,Corporate Pride,None,0,0,19.1017,72.88192,purpleyo,Mumbai,05/19/2016 11:27:30,LEASE,OFFICE,Andheri East,192000,COMPLETED AND OPERATIONAL,None,None,None,"Andheri East, Mumbai",false,None,None,None,None,None,400059,NO,None,
513,Synergy Business Park,None,0,0,19.173054,72.857124,purpleyo,Mumbai,05/10/2016 05:38:17,LEASE/SALE,OFFICE,Goregaon East,165000,COMPLETED AND OPERATIONAL,None,None,None,"Goregaon East, Dindoshi, Mumbai",false,None,None,None,None,None,400063,YES,None,
2905,K Raheja Prime,None,0,0,19.110044,72.883415,purpleyo,Mumbai,06/02/2016 06:52:59,LEASE/SALE,OFFICE,Andheri East,21600,COMPLETED AND OPERATIONAL,None,None,None,"Marol Cooperative Industrial Estate Road, Sag Baug, Marol, Andheri East, Mumbai",false,None,None,None,None,None,400058,YES,None,
3660,,None,0,0,19.12944,72.87689,purpleyo,Mumbai,07/15/2016 10:59:39,LEASE/SALE,OFFICE,Andheri East,97000,COMPLETED AND OPERATIONAL,None,None,None,"SEEPZ, Andheri East, Mumbai",false,None,None,None,None,None,400058,NO,None,
2421,Kamdhenu Commerz,None,0,0,19.070877,73.082535,purpleyo,Navi Mumbai,06/07/2016 07:59:30,LEASE,OFFICE AND RETAIL,Kharghar,194700,CONSTRUCTION YET TO COMMENCE,None,None,None,"# 26, Sector 36, Kharghar, Navi Mumbai",false,None,None,None,None,None,410210,NO,None,
1166,Kalpataru Prime,None,0,0,19.19726,72.95677,purpleyo,Mumbai,04/11/2016 09:53:28,LEASE/SALE,OFFICE,Thane West,390000,COMPLETED AND OPERATIONAL,None,None,None,"# D-3, Road No 16, Wagle Industrial Estate, Thane West, Mumbai",false,None,None,None,None,None,400604,YES,None,
3197,Kotia Nirman,None,0,0,19.135502,72.832306,purpleyo,Mumbai,07/05/2016 06:58:49,LEASE,OFFICE AND RETAIL,Andheri West,30800,COMPLETED AND OPERATIONAL,None,None,None,"# 2, New Link Road, Industrial Area, Andheri West, Mumbai",false,None,None,None,None,None,400047,YES,None,
3073,ATL Corporate Park,None,0,0,19.122803,72.891426,purpleyo,Mumbai,05/09/2016 07:45:48,LEASE,OFFICE AND RETAIL,Powai,204000,UNDER CONSTRUCTION,None,None,None,"Saki Vihar Road, Powai, Mumbai",false,None,None,None,None,None,400076,YES,None,
718,Shah Signature,None,0,0,19.073486,73.00206,purpleyo,Navi Mumbai,07/13/2016 09:43:12,SALE,OFFICE AND RETAIL,Vashi,122000,UNDER CONSTRUCTION,None,None,None,"# 7, Arenja Corner, Palm Beach Road, Sector 17, Vashi, Navi Mumbai",false,None,None,None,None,None,400705,YES,None,
